ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Falta_Ativa_PLIM_pu
1649,0.6190956438702115,-67.43449144052279,0.0,0.0,0.40299999999999997,0.162,0.0,-0.07166185255377887,0.12222368849128794
689,0.616878050126263,-40.26611688234958,0.0,0.0,0.0,0.0,0.0,-0.05687559010786319,-0.020414628772641056
3030,0.5982038010749455,-65.95092083249713,0.0,0.0,0.0,0.0,0.0,-0.010881233330441057,-0.008192405631914292
3171,0.6282861478279702,-19.924111451522567,0.0,0.0,0.583,0.174,0.0,-0.03200352311605535,0.1120875610077245
48055,0.7928101428276497,-27.267256761396084,0.0,0.0,0.0,0.0,0.0,-0.03033845977652068,0.012657080744999636
9242,0.6454770158880149,-42.40380075286414,0.0,0.0,0.083,0.027999999999999997,0.0,-0.013406357879387093,0.017476320814825332
5581,0.6733235492194037,-28.548902867518176,0.0,0.0,0.0,0.0,0.0,-0.022725889096255787,-0.010294132465418722
47008,0.6076670124143118,-49.00059892700797,0.0,0.0,-0.035,0.0,0.0,0.00040342044759978903,-0.008573853637406051
10375,0.6769321900270848,-20.39110599420147,0.0,0.0,0.0,0.0,0.0,-0.017624353581355615,-0.008509258370892602
41190,0.6784559458733654,-44.82534639717805,0.0,0.0,0.0,0.0,0.0,-0.022055683938906813,0.00887022285020038
763,0.6102168263992932,-36.48858542255688,0.0,0.0,0.0,0.0,0.0,-0.041775877905081776,0.0032417911709073867
3260,0.6164673915787893,-64.81010119661315,0.0,0.0,0.0,0.0,0.0,-0.057447923762960686,0.015953397023943876
5556,0.6620170670437364,-35.974916187882656,0.0,0.0,0.0,0.0,0.0,-0.02224706447272958,0.006040775428682797
46595,0.6589708333782185,-49.19048347026998,0.0,0.0,0.0,0.0,0.0,-0.017367314606859283,0.010688835286211992
45366,0.7807708539295293,-29.540264936145224,0.0,0.0,0.0,0.0,0.0,-0.0024560758912713816,0.013639266243325288
